DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
5,1,3,6,0.114,0.114,0.104,0.141,0.107,0.111,0.138
5,2,3,1,0.114,0.104,0.141,0.107,0.111,0.138,0.097
5,2,4,2,0.104,0.141,0.107,0.111,0.138,0.097,0.125
5,2,3,3,0.141,0.107,0.111,0.138,0.097,0.125,0.128
5,2,4,4,0.107,0.111,0.138,0.097,0.125,0.128,0.114
5,2,3,5,0.111,0.138,0.097,0.125,0.128,0.114,0.121
5,2,2,6,0.138,0.097,0.125,0.128,0.114,0.121,0.119
5,3,4,1,0.097,0.125,0.128,0.114,0.121,0.119,0.121
5,3,3,2,0.125,0.128,0.114,0.121,0.119,0.121,0.098
5,3,3,3,0.128,0.114,0.121,0.119,0.121,0.098,0.143
5,3,4,4,0.114,0.121,0.119,0.121,0.098,0.143,0.121
5,3,3,5,0.121,0.119,0.121,0.098,0.143,0.121,0.11
5,3,4,6,0.119,0.121,0.098,0.143,0.121,0.11,0.147
5,4,2,1,0.121,0.098,0.143,0.121,0.11,0.147,0.102
5,4,4,2,0.098,0.143,0.121,0.11,0.147,0.102,0.114
5,4,4,3,0.143,0.121,0.11,0.147,0.102,0.114,0.126
5,4,3,4,0.121,0.11,0.147,0.102,0.114,0.126,0.12
5,4,4,5,0.11,0.147,0.102,0.114,0.126,0.12,0.111
5,4,3,6,0.147,0.102,0.114,0.126,0.12,0.111,0.122
6,1,4,1,0.102,0.114,0.126,0.12,0.111,0.122,0.133
6,1,2,2,0.114,0.126,0.12,0.111,0.122,0.133,0.083
6,1,4,3,0.126,0.12,0.111,0.122,0.133,0.083,0.141
6,1,4,4,0.12,0.111,0.122,0.133,0.083,0.141,0.127
6,1,3,5,0.111,0.122,0.133,0.083,0.141,0.127,0.092
6,1,4,6,0.122,0.133,0.083,0.141,0.127,0.092,0.14
6,2,2,1,0.133,0.083,0.141,0.127,0.092,0.14,0.113
6,2,4,2,0.083,0.141,0.127,0.092,0.14,0.113,0.108
6,2,4,3,0.141,0.127,0.092,0.14,0.113,0.108,0.132
6,2,3,4,0.127,0.092,0.14,0.113,0.108,0.132,0.126
6,2,3,5,0.092,0.14,0.113,0.108,0.132,0.126,0.103
6,2,3,6,0.14,0.113,0.108,0.132,0.126,0.103,0.118
6,3,3,1,0.113,0.108,0.132,0.126,0.103,0.118,0.141
6,3,4,2,0.108,0.132,0.126,0.103,0.118,0.141,0.086
6,3,3,3,0.132,0.126,0.103,0.118,0.141,0.086,0.136
6,3,5,4,0.126,0.103,0.118,0.141,0.086,0.136,0.316
6,3,5,5,0.103,0.118,0.141,0.086,0.136,0.316,0.17
6,3,4,6,0.118,0.141,0.086,0.136,0.316,0.17,0.492
